Country,GDP_USD_billions
 United States,28781.08
 China,18532.63
 Germany,4591.1
 Japan,4110.45
 India,3937.01
 United Kingdom,3495.26
 France,3130.01
 Brazil,2331.39
 Italy,2328.03
 Canada,2242.18
 Russia,2056.84
 Mexico,2017.02
 Australia,1790.35
 South Korea,1760.95
 Spain,1647.11
 Indonesia,1475.69
 Netherlands,1142.51
 Turkey,1113.56
 Saudi Arabia,1106.02
 Switzerland,938.46
 Poland,844.62
 Taiwan,802.96
 Belgium,655.19
 Sweden,623.05
 Argentina,604.26
 Ireland,564.02
 Thailand,548.89
 Austria,540.89
 Israel,530.66
 United Arab Emirates,527.8
 Norway,526.95
 Singapore,525.23
 Philippines,471.52
 Vietnam,465.81
 Iran,464.18
 Bangladesh,455.16
 Malaysia,445.52
 Denmark,409.99
 Hong Kong,406.78
 Colombia,386.08
 South Africa,373.23
 Romania,369.97
 Egypt,347.59
 Pakistan,338.24
 Chile,333.76
 Czech Republic,325.88
 Finland,308.06
 Portugal,298.95
 Kazakhstan,296.74
 Peru,282.46
 Algeria,266.78
 Iraq,265.89
 New Zealand,257.62
 Nigeria,252.74
 Greece,250.28
 Qatar,244.69
 Hungary,223.41
 Ethiopia,205.13
 Ukraine,188.94
 Kuwait,160.4
 Morocco,152.38
 Slovakia,140.81
 Dominican Republic,127.36
 Ecuador,121.59
 Puerto Rico,117.76
 Guatemala,110.04
 Oman,108.93
 Bulgaria,107.93
 Kenya,104.0
 Venezuela,102.33
 Uzbekistan,97.96
 Costa Rica,96.06
 Angola,92.12
 Luxembourg,88.56
 Croatia,88.08
 Panama,87.35
 Ivory Coast,86.91
 Uruguay,82.6
 Turkmenistan,81.9
 Serbia,81.87
 Lithuania,81.17
 Tanzania,79.6
 Azerbaijan,78.75
 Ghana,75.24
 Sri Lanka,74.85
 DR Congo,73.76
 Slovenia,72.1
 Belarus,69.05
 Myanmar,68.01
 Uganda,56.31
 Tunisia,54.71
 Macau,54.68
 Jordan,53.57
 Cameroon,53.2
 Bolivia,49.33
 Libya,48.22
 Bahrain,46.79
 Paraguay,45.82
 Latvia,45.47
 Cambodia,45.15
 Nepal,44.18
 Estonia,43.49
 Honduras,37.35
 Senegal,35.45
 El Salvador,35.33
 Zimbabwe,34.4
 Cyprus,34.22
 Iceland,33.34
 Georgia,32.86
 Papua New Guinea,31.72
 Zambia,29.87
 Bosnia and Herzegovina,29.08
 Trinidad and Tobago,28.36
 Sudan,26.86
 Guinea,25.45
 Albania,25.43
 Armenia,25.41
 Haiti,24.05
 Mozambique,22.98
 Malta,22.74
 Mongolia,21.94
 Burkina Faso,21.9
 Lebanon,21.78
 Mali,21.66
 Botswana,21.42
 Benin,21.37
 Guyana,21.18
 Gabon,21.01
 Jamaica,20.1
 Nicaragua,18.83
 Niger,18.82
 Chad,18.7
 Palestine,18.6
 Moldova,18.36
 Yemen,16.94
 Madagascar,16.46
 Mauritius,16.36
 North Macedonia,15.87
 Brunei,15.51
 Congo,15.5
 Laos,15.19
 Afghanistan,14.47
 Bahamas,14.39
 Rwanda,13.7
 Kyrgyzstan,13.6
 Tajikistan,12.95
 Somalia,12.8
 Namibia,12.76
 Kosovo,11.32
 Malawi,11.24
 Equatorial Guinea,10.71
 Mauritania,10.63
 Togo,9.83
 Montenegro,8.01
 Maldives,7.2
 Barbados,6.86
 South Sudan,6.52
 Fiji,5.8
 Eswatini,5.08
 Liberia,4.75
 Sierra Leone,4.56
 Djibouti,4.36
 Suriname,4.34
 Aruba,4.07
 Andorra,3.9
 Belize,3.3
 Bhutan,3.11
 Burundi,3.08
 Central African Republic,2.81
 Cape Verde,2.72
 Gambia,2.69
 Saint Lucia,2.58
 Lesotho,2.4
 Seychelles,2.2
 Guinea-Bissau,2.15
 Antigua and Barbuda,2.13
 San Marino,2.03
 East Timor,1.99
 Solomon Islands,1.71
 Comoros,1.42
 Grenada,1.41
 Vanuatu,1.29
 Saint Kitts and Nevis,1.13
 Saint Vincent and the Grenadines,1.13
 Samoa,1.02
 São Tomé and Príncipe,0.75
 Dominica,0.71
 Tonga,0.58
 Micronesia,0.48
 Kiribati,0.31
 Palau,0.31
 Marshall Islands,0.3
 Nauru,0.16
 Tuvalu,0.07
